date,day_of_week,month,week_of_year,is_weekend,season,festival_intensity,is_festival,temperature,humidity,aqi,rainfall,age,severity_score,current_bed_demand,total_beds,icu_beds,doctors_count,nurses_count,hospital_type,lag_1_day,lag_7_day,lag_14_day,rolling_avg_7,rolling_avg_14,rolling_std_7
1996-08-15,3,8,33,0,Monsoon,3,1,29.4901424590337,80.92903161707667,297.4143123833409,35.66019101208357,83,3,807,850,120,180,360,Government,765.1972,765.1972,765.1972,807.0,807.0,51.63068392275621
1996-08-16,4,8,33,0,Monsoon,3,1,27.585207096486446,83.16700322167809,294.16617962678333,42.681123574542596,26,2,807,850,120,180,360,Government,807.0,765.1972,765.1972,807.0,807.0,0.0
1996-08-17,5,8,33,1,Monsoon,3,1,29.94306561430208,81.41571363372914,233.17400770972543,11.356754746379014,38,1,670,850,120,180,360,Government,807.0,765.1972,765.1972,761.3333333333334,761.3333333333334,79.09698687897874
1996-08-18,6,8,33,1,Monsoon,3,1,32.569089569224076,85.66250828167672,308.9792110881869,9.390091739021788,40,3,807,850,120,180,360,Government,670.0,765.1972,765.1972,772.75,772.75,68.5
1996-08-19,0,8,34,0,Monsoon,3,1,27.29753987582999,92.18307118877148,205.49586622116908,18.97105947382951,4,2,807,850,120,180,360,Government,807.0,765.1972,765.1972,779.6,779.6,61.26826258349424
1996-08-20,1,8,34,0,Monsoon,3,1,27.29758912915246,80.37374705715277,247.29078371198358,1.1944575489331406,61,4,807,850,120,180,360,Government,807.0,765.1972,765.1972,784.1666666666666,784.1666666666666,55.93001579354924
1996-08-21,2,8,34,0,Monsoon,0,0,32.737638446522176,91.00492298661048,80.0456093551096,23.50920752845452,43,3,768,850,120,180,360,Government,807.0,765.1972,765.1972,781.8571428571429,781.8571428571429,51.42122963468355
1996-08-22,3,8,34,0,Monsoon,0,0,30.302304187458727,80.30996756591867,257.9313258481407,30.491607558890927,37,2,711,850,120,180,360,Government,768.0,807.0,765.1972,768.1428571428571,773.0,56.17955906860483
1996-08-23,4,8,34,0,Monsoon,0,0,26.591576842195142,79.9142367250187,168.42252530273524,10.131424639340734,37,1,595,850,120,180,360,Government,711.0,807.0,765.1972,737.8571428571429,753.2222222222222,82.6487115677524
1996-08-24,5,8,34,1,Monsoon,0,0,29.627680130757895,89.91156771005927,288.3442017408156,3.8381272933550314,36,2,683,850,120,180,360,Government,595.0,670.0,765.1972,739.7142857142857,746.2,80.99941210838982
1996-08-25,6,8,34,1,Monsoon,0,0,26.609746921562614,90.5316182680457,220.14749632597474,0.5848355778769212,45,3,780,850,120,180,360,Government,683.0,807.0,765.1972,735.8571428571429,749.2727272727273,77.84263735560478
1996-08-26,0,8,35,0,Monsoon,0,0,26.60281073928923,90.10845962057593,202.40491066755123,20.280585126233625,41,3,807,850,120,180,360,Government,780.0,807.0,765.1972,735.8571428571429,754.0833333333334,77.84263735560478
1996-08-27,1,8,35,0,Monsoon,0,0,28.725886814698104,77.10521555069116,150.68861528595005,6.266655992434983,38,2,703,850,120,180,360,Government,807.0,807.0,765.1972,721.0,750.1538461538462,71.68216886599726
1996-08-28,2,8,35,0,Monsoon,0,0,22.260159266026605,82.20429413156769,127.68249821562901,12.468302898970276,53,2,789,850,120,180,360,Government,703.0,768.0,765.1972,724.0,752.9285714285714,74.36621096528546
1996-08-29,3,8,35,0,Monsoon,0,0,22.825246502460903,89.93793155201993,206.14857869484726,9.766790880717252,55,4,807,850,120,180,360,Government,789.0,711.0,807.0,737.7142857142857,752.9285714285714,80.19292214344583
1996-08-30,4,8,35,0,Monsoon,0,0,26.313137412277083,85.24925104338337,176.4242995363509,3.8446452224117724,27,2,722,850,120,180,360,Government,807.0,595.0,807.0,755.8571428571429,746.8571428571429,51.89871087489727
1996-08-31,5,8,35,1,Monsoon,0,0,24.961506638996728,78.55784292281521,113.03648422573495,14.200523390292565,37,2,675,850,120,180,360,Government,722.0,683.0,670.0,754.7142857142857,747.2142857142857,53.82290183467213
1996-09-01,6,9,35,1,Monsoon,0,0,28.94274199778582,87.74990763475265,104.15707917458407,12.308673738438372,34,1,598,850,120,180,360,Government,675.0,780.0,807.0,728.7142857142857,732.2857142857143,78.06987102528588
1996-09-02,0,9,36,0,Monsoon,0,0,25.275927773436365,80.71115644605118,132.06481354282081,19.571176534016313,33,2,727,850,120,180,360,Government,598.0,807.0,807.0,717.2857142857143,726.5714285714286,70.15391242526282
1996-09-03,1,9,36,0,Monsoon,0,0,23.763088895994123,95.76714909035327,271.0483612633115,5.80397124394898,6,1,757,850,120,180,360,Government,727.0,703.0,807.0,725.0,723.0,71.28113354878703
1996-09-04,2,9,36,0,Monsoon,0,0,32.39694630676466,94.26904877450956,290.6638959005652,4.832237919491924,43,2,807,850,120,180,360,Government,757.0,789.0,768.0,727.5714285714286,725.7857142857143,74.23803414884937
1996-09-05,3,9,36,0,Monsoon,0,0,27.322671098540393,88.6245845581334,190.2494573654455,33.677309763809255,47,2,807,850,120,180,360,Government,807.0,807.0,711.0,727.5714285714286,732.6428571428571,74.23803414884937
1996-09-06,4,9,36,0,Monsoon,0,0,28.20258461406377,93.16604022861864,187.44713981206442,24.226142359669055,33,3,807,850,120,180,360,Government,807.0,722.0,595.0,739.7142857142857,747.7857142857143,79.90977054510564
1996-09-07,5,9,36,1,Monsoon,0,0,23.72575544135963,85.38874810074029,163.18398140852395,29.586311002131467,79,5,807,850,120,180,360,Government,807.0,675.0,683.0,758.5714285714286,756.6428571428571,77.63559566516966
1996-09-08,6,9,36,1,Monsoon,0,0,26.36685182642445,89.5926249662501,133.2757325845249,2.631575986495574,47,2,683,850,120,180,360,Government,807.0,598.0,780.0,770.7142857142857,749.7142857142857,50.09894970859919
